,title,director,distributor,distributor_group,release_date,release_season,nation,screen,rev_nationwide,aud_nationwide,genre,rate,type,starring_actors,running_times,release_year,director_power,expert_rating,sequel,original,actor_power,before_news,after_news,holiday,dist_cat,audience_rating,rating_audiences
0,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니컴퍼니코리아(주),B,20150423,spring,미국,1843,88582586366,10494499,액션,12세이상관람가,일반영화,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로",141,2015,7073037,6.92,1,0,33074337,4120,1940,0,B,8.612376614,5268
1,국제시장,윤제균,씨제이이앤엠(주),A,20141217,winter,한국,966,69823893034,8911437,드라마,12세이상관람가,일반영화,"황정민,김윤진,오달수",126,2014,0,5.81,0,0,51592007,1547,917,0,A,9.272090989,1143
2,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아(주),B,20150211,winter,미국,706,50333635795,6125154,액션,청소년관람불가,일반영화,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨",128,2015,7163,7.58,1,0,6557445,427,384,0,B,8.960784314,918
3,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),B,20150611,summer,미국,1290,40130812071,4565888,액션,12세이상관람가,일반영화,"크리스 프랫,브라이스 달라스 하워드,빈센트 도노프리오",125,2015,23,6.63,0,1,1472533,209,668,0,B,8.337789203,1945
4,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,C,20150211,winter,한국,811,30456879428,3872015,사극,12세이상관람가,일반영화,"김명민,오달수,이연희",125,2015,0,5.85,1,0,58897340,985,621,0,A,8.172131148,610
5,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아(주),B,20150514,spring,미국,799,32781268462,3828994,액션,15세이상관람가,일반영화,"톰 하디,샤를리즈 테론,니콜라스 홀트",120,2015,185420,8.75,0,1,11101070,88,480,0,B,8.889012209,901
6,분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아(유),B,20150401,spring,미국,983,26449334694,3247558,액션,15세이상관람가,일반영화,"빈 디젤,폴 워커,드웨인 존슨",138,2015,2890669,7.08,0,1,9912243,46,387,0,B,9.294190358,809
7,스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),C,20150325,spring,한국,926,23558988686,3044134,코미디,15세이상관람가,일반영화,"김우빈,준호,강하늘",115,2015,1217,5.88,1,0,2258611,1589,771,0,A,8.779516358,703
8,빅 히어로,"돈 홀,크리스 윌리암스",월트디즈니컴퍼니코리아(주),B,20150121,winter,미국,825,21993119765,2801949,애니메이션,전체관람가,일반영화,"다니엘 헤니,라이언 포터,스콧 애짓",108,2015,0,7.16,1,0,3490818,678,449,0,B,9.359840954,1006
9,극비수사,곽경택,(주)쇼박스,C,20150618,summer,한국,894,18338857652,2330813,드라마,15세이상관람가,일반영화,"김윤석,유해진",108,2015,3015354,7.16,1,0,33237892,1179,904,0,A,8.393271462,862
10,스파이,폴 페이그,이십세기폭스코리아(주),B,20150521,spring,미국,665,18385015858,2314520,액션,15세이상관람가,일반영화,"멜리사 맥카시,주드 로,제이슨 스타뎀",120,2015,0,7.32,0,0,2616726,274,368,0,B,8.889208633,695
11,강남 1970,유하,(주)쇼박스,C,20150121,winter,한국,841,17717971499,2192172,액션,청소년관람불가,일반영화,"이민호,김래원,정진영",135,2015,1612554,5.84,0,0,21272936,2608,1725,0,A,8.053080569,1055
12,악의 연대기,백운학,씨제이이앤엠(주),A,20150514,spring,한국,776,17357873332,2191793,스릴러,15세이상관람가,일반영화,"손현주,마동석,최다니엘",102,2015,0,5.81,0,0,29337703,1568,521,0,A,8.428093645,598
13,오늘의 연애,박진표,씨제이이앤엠(주),A,20150114,winter,한국,709,14924654487,1891993,멜로/로맨스,15세이상관람가,일반영화,"이승기,문채원,이서진",118,2015,0,4,0,0,23350,2202,1131,0,A,8.060514372,661
14,연평해전,김학순,(주)넥스트엔터테인먼트월드(NEW),C,20150624,summer,한국,1013,14298162159,1872677,드라마,12세이상관람가,일반영화,"김무열,진구,이현우",130,2015,0,4.94,1,0,35457619,1090,2068,0,A,9.344880677,1299
15,테이큰 3,올리비에 메가턴,이십세기폭스코리아(주),B,20150101,winter,미국,616,15088105000,1860934,액션,15세이상관람가,일반영화,"리암 니슨,팜케 얀센,매기 그레이스",112,2015,2308596,3.88,0,1,10630635,47,308,1,B,8.095959596,990
16,이미테이션 게임,모튼 틸덤,메가박스중앙(주)플러스엠,A,20150217,winter,영국,541,13654746120,1743774,드라마,15세이상관람가,일반영화,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드",114,2015,1,7.25,1,0,10966878,66,674,0,A,8.726821192,604
17,샌 안드레아스,브래드 페이튼,워너브러더스 코리아(주),B,20150603,summer,미국,847,14397026552,1712142,액션,12세이상관람가,일반영화,"드웨인 존슨,알렉산드라 다드다리오,칼라 구기노",114,2015,1149628,4.9,0,0,4888448,298,307,0,B,8.426070039,514
18,쎄시봉,김현석,씨제이이앤엠(주),A,20150205,winter,한국,829,13509581911,1707487,멜로/로맨스,15세이상관람가,일반영화,"정우,김윤석,한효주",122,2015,870785,6.11,1,0,37303827,1718,1121,0,A,8.434243176,403
19,위플래쉬,데이미언 셔젤,(주)쇼박스,C,20150312,spring,미국,436,12426704845,1559430,드라마,15세이상관람가,독립/예술영화,"마일즈 텔러,J.K. 시몬스",106,2015,0,8.44,1,0,200,59,340,0,A,9.083129584,409
20,마다가스카의 펭귄,"에릭 다넬,사이몬 J.스미스",씨제이이앤엠(주),A,20141231,winter,미국,615,11450482159,1512340,애니메이션,전체관람가,일반영화,"베네딕트 컴버배치,존 말코비치,톰 맥그라스",92,2014,1390190,6.33,0,1,10578164,24,299,0,A,8.681981982,1110
21,차이나타운,한준희,CGV아트하우스,A,20150429,spring,한국,551,11989400678,1472006,범죄,청소년관람불가,일반영화,"김혜수,김고은,엄태구",110,2015,0,6.03,0,0,23495448,1607,607,0,A,7.491289199,574
22,장수상회,강제규,씨제이이앤엠(주),A,20150409,spring,한국,688,8707389643,1160935,멜로/로맨스,12세이상관람가,일반영화,"박근형,윤여정,조진웅",112,2015,0,6.36,1,0,38288122,482,543,0,A,8.677725118,211
23,간신,민규동,롯데쇼핑㈜롯데엔터테인먼트,A,20150521,spring,한국,697,8946618910,1110214,사극,청소년관람불가,일반영화,"주지훈,김강우,천호진",131,2015,5222820,4.97,0,0,9437615,1093,820,0,A,7.268542199,391
24,박물관이 살아있다 : 비밀의 무덤,숀 레비,이십세기폭스코리아(주),B,20150114,winter,미국,500,8170784606,1101678,어드벤처,전체관람가,일반영화,"벤 스틸러,로빈 윌리엄스,댄 스티븐스",98,2015,0,5.67,0,0,1783439,24,254,0,B,8.313559322,354
25,허삼관,하정우,(주)넥스트엔터테인먼트월드(NEW),C,20150114,winter,한국,621,7405415569,955175,드라마,12세이상관람가,일반영화,"하정우,하지원",124,2015,270148,6.46,1,0,26394758,2588,1113,0,A,7.811816193,457
26,"님아, 그 강을 건너지 마오",진모영,"CGV아트하우스,(주)대명문화공장",A,20141127,autumn,한국,206,7509448200,955149,다큐멘터리,전체관람가,독립/예술영화,"조병만,강계열",86,2014,0,6,1,0,0,31,59,0,A,9.67,100
27,살인의뢰,손용호,씨네그루(주)다우기술,B,20150312,spring,한국,646,6986456737,855980,범죄,청소년관람불가,일반영화,"김상경,김성균,박성웅",102,2015,0,4.33,1,0,42388996,558,492,0,B,6.614678899,327
28,기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,A,20141224,winter,한국,641,6241817635,786257,범죄,15세이상관람가,일반영화,"김우빈,김영철,고창석",116,2014,1646142,4.75,0,0,11457458,712,897,0,A,7.925486876,1181
29,신데렐라,케네스 브래너,월트디즈니컴퍼니코리아(주),B,20150319,spring,미국,531,5499767900,716386,멜로/로맨스,전체관람가,일반영화,"릴리 제임스,리차드 매든,케이트 블란쳇",113,2015,327591,6.5,1,0,10302428,144,322,0,B,8.403278689,305
30,채피,닐 블롬캠프,유니버설픽쳐스인터내셔널 코리아(유),B,20150312,spring,미국,536,4620348654,573657,액션,15세이상관람가,일반영화,"휴 잭맨,샬토 코플리,시고니 위버",120,2015,1207732,5.78,1,0,12509432,78,312,0,B,7.703703704,216
31,헬머니,신한솔,(주)넥스트엔터테인먼트월드(NEW),C,20150305,spring,한국,422,4096141972,519983,코미디,청소년관람불가,일반영화,"김수미,정만식,김정태",108,2015,0,4.13,0,0,43034509,938,276,0,A,7.56462585,147
32,도라에몽 : 스탠 바이 미,"야마자키 타카시,야기 류이치",(주)넥스트엔터테인먼트월드(NEW),C,20150212,winter,일본,432,3681140429,503516,애니메이션,전체관람가,일반영화,"미즈타,와사비,오오하라 메구미,카카즈 유미",95,2015,0,7,1,1,331280,29,116,0,A,8.517928287,251
33,위험한 상견례 2,김진영,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",A,20150429,spring,한국,429,3575384754,472693,멜로/로맨스,15세이상관람가,일반영화,"진세연,홍종현,신정근",119,2015,338168,4,0,1,22214097,1940,895,0,A,8.396039604,202
34,순수의 시대,안상훈,씨제이이앤엠(주),A,20150305,spring,한국,546,3702353828,465492,사극,청소년관람불가,일반영화,"신하균,장혁,강한나",113,2015,0,4.57,0,0,4296558,1633,744,0,A,6.721153846,208
35,무뢰한,오승욱,CGV아트하우스,A,20150527,spring,한국,482,3253854931,413577,멜로/로맨스,청소년관람불가,일반영화,"전도연,김남길,박성웅",118,2015,0,7.21,0,0,23523340,1493,544,0,A,7.502283105,219
36,내 심장을 쏴라,문제용,"(주)리틀빅픽쳐스,(주)이수C&E",D,20150128,winter,한국,452,2856859132,387409,드라마,15세이상관람가,일반영화,"이민기,여진구",102,2015,0,4.55,1,0,4265101,993,409,0,C,8.256544503,191
37,그레이의 50가지 그림자,샘 테일러-존슨,유니버설픽쳐스인터내셔널 코리아(유),B,20150226,winter,미국,512,2918598796,364415,드라마,청소년관람불가,일반영화,"제이미 도넌,다코타 존슨,루크 그림즈",125,2015,0,3.07,0,1,0,147,376,0,B,5.57518797,266
38,홈,팀 존슨,씨제이이앤엠(주),A,20150521,spring,미국,532,2691338791,360445,애니메이션,전체관람가,일반영화,"짐 파슨스,리아나,제니퍼 로페즈",94,2015,0,6.56,0,0,1648070,0,1,0,A,8.260869565,207
39,경성학교: 사라진 소녀들,이해영,롯데쇼핑㈜롯데엔터테인먼트,A,20150618,summer,한국,489,2710740700,351208,미스터리,15세이상관람가,일반영화,"박보영,엄지원,박소담",99,2015,0,6.75,0,0,10387634,819,431,0,A,6.721088435,294
40,아메리칸 스나이퍼,클린트 이스트우드,워너브러더스 코리아(주),B,20150114,winter,미국,308,2800001438,344766,액션,청소년관람불가,일반영화,"브래들리 쿠퍼,시에나 밀러,제이크 맥더맨",132,2015,0,7.25,1,0,1767333,23,150,0,B,8.669902913,206
41,호빗: 다섯 군대 전투,피터 잭슨,워너브러더스 코리아(주),B,20141217,winter,미국,926,2840004341,326887,어드벤처,12세이상관람가,일반영화,"마틴 프리먼,이안 맥켈런,리처드 아미티지",144,2014,4721002,6.42,1,1,7546878,57,179,0,B,8.620253165,1185
42,스폰지밥 3D,폴 티비트,씨제이이앤엠(주),A,20150218,winter,미국,357,2458946200,325016,애니메이션,전체관람가,일반영화,"전태열,이인성,안토니오 반데라스",92,2015,0,5.5,1,0,2232404,57,63,1,A,7.947826087,345
43,주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",워너브러더스 코리아(주),B,20150205,winter,미국,561,2685741879,309729,SF,12세이상관람가,일반영화,"밀라 쿠니스,채닝 테이텀,숀 빈",127,2015,898142,4.75,0,0,2583354,64,186,0,B,6.739495798,119
44,패딩턴,폴 킹,롯데쇼핑㈜롯데엔터테인먼트,A,20150107,winter,영국,408,2246424729,305100,코미디,전체관람가,일반영화,"벤 위쇼,니콜 키드먼,휴 보네빌",95,2015,0,6.64,1,0,1144385,21,135,0,A,8.754716981,265
45,오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",(주)박수엔터테인먼트,D,20150212,winter,미국,330,2175321000,298298,애니메이션,전체관람가,독립/예술영화,"박지윤,김하영,신용우",91,2015,0,6,1,0,47204,22,66,0,C,8.049382716,162
46,런 올 나이트,자움 콜렛 세라,워너브러더스 코리아(주),B,20150319,spring,미국,411,2293671495,289534,액션,청소년관람불가,일반영화,"리암 니슨,조엘 킨나만,에드 해리스",114,2015,2084457,5.94,0,0,17046553,29,127,0,B,8.026086957,115
47,다이노 타임,"최윤석,존 카프카",씨제이이앤엠(주),A,20150430,spring,한국,430,2099627100,283292,애니메이션,전체관람가,일반영화,"멜라니 그리피스,제인 린치,윌리암 볼드윈",85,2015,0,0,0,0,0,24,111,0,A,8.539370079,254
48,인서전트,로베르트 슈벤트케,롯데쇼핑㈜롯데엔터테인먼트,A,20150325,spring,미국,480,2158449889,282662,SF,15세이상관람가,일반영화,"쉐일린 우들리,테오 제임스,케이트 윈슬렛",119,2015,101460,5,1,1,2251229,80,172,0,A,7.433962264,159
49,소수의견,김성제,(주)시네마서비스,D,20150624,summer,한국,398,2015282936,268255,드라마,15세이상관람가,일반영화,"윤계상,유해진,김옥빈",126,2015,0,7.18,1,0,17753412,1522,498,0,C,9.085,200
50,백 투 더 비기닝,딘 이스라엘리트,롯데쇼핑㈜롯데엔터테인먼트,A,20150226,winter,미국,423,2016298400,266389,SF,15세이상관람가,일반영화,"조니 웨스턴,소피아 블랙 디엘리아,샘 러너",106,2015,0,4,0,0,0,25,116,0,A,7.68907563,119
51,투모로우랜드,브래드 버드,월트디즈니컴퍼니코리아(주),B,20150527,spring,미국,435,2082869000,265744,액션,12세이상관람가,일반영화,"조지 클루니,휴 로리,브릿 로버트슨",129,2015,0,5.5,0,0,116172,42,112,0,B,7.915384615,130
52,개를 훔치는 완벽한 방법,김성호,"(주)리틀빅픽쳐스,(주)대명문화공장",D,20141231,winter,한국,205,2018597565,262943,드라마,전체관람가,독립/예술영화,"이레,이지원,홍은택",109,2014,493622,7.04,1,0,0,180,164,0,C,8.664556962,158
53,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,씨제이이앤엠(주),A,20150212,winter,일본,187,1885543600,257381,애니메이션,12세이상관람가,일반영화,"김선혜,강수진,이현진",92,2015,1273318,5,1,1,2174394,11,38,0,A,8.571428571,7
54,언브로큰,안젤리나 졸리,유니버설픽쳐스인터내셔널 코리아(유),B,20150107,winter,미국,401,1997947292,256475,액션,15세이상관람가,일반영화,"잭 오코넬,도널 글리슨,가렛 헤드룬드",137,2015,0,5.33,1,0,2892009,65,168,0,B,8.067164179,134
55,소셜포비아,홍석재,CGV아트하우스,A,20150312,spring,한국,368,1950635763,248215,스릴러,15세이상관람가,독립/예술영화,"변요한,이주승,류준열",102,2015,0,7.18,0,0,5503296,190,286,0,A,7.655555556,90
56,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,롯데쇼핑㈜롯데엔터테인먼트,A,20150114,winter,일본,360,1653084000,233347,애니메이션,전체관람가,일반영화,"조현정,이선호,마츠모토 리카",98,2015,729645,6,1,1,1723043,10,40,0,A,8.552301255,239
57,언프렌디드: 친구삭제,레오 가브리아제,유니버설픽쳐스인터내셔널 코리아(유),B,20150507,spring,미국,386,1643911941,219678,공포,15세이상관람가,일반영화,"헤더 소서맨,쉘리 헨닝,모세 제이콥 스톰",83,2015,0,6,0,0,0,17,103,0,B,5.173333333,75
58,노아의 방주: 남겨진 녀석들,토비 젠켈,씨네그루(주)다우기술,B,20150430,spring,기타,436,1586417300,219621,애니메이션,전체관람가,일반영화,"김하영,배진홍,윤세웅",85,2015,0,6.16,0,0,77624,27,84,0,B,8.408866995,203
59,연애의 맛,김아론,"(주)와우픽쳐스,(주)쇼박스",D,20150507,spring,한국,398,1706805153,212154,멜로/로맨스,청소년관람불가,일반영화,"오지호,강예원",101,2015,0,5,0,0,527136,1418,344,0,C,8.14953271,107
60,버드맨,알레한드로 곤잘레스 이냐리투,이십세기폭스코리아(주),B,20150305,spring,미국,380,1653103800,204742,코미디,청소년관람불가,일반영화,"마이클 키튼,에드워드 노튼,엠마 스톤",119,2015,0,8.1,0,0,8099449,165,279,0,B,8.532051282,156
61,기생수 파트1,야마자키 타카시,판씨네마(주),D,20150226,winter,일본,247,1534923185,186184,스릴러,청소년관람불가,일반영화,"소메타니 쇼타,아베 사다오,후카츠 에리",110,2015,0,5.5,1,0,8741,12,57,0,C,8.262068966,145
62,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),B,20141106,autumn,미국,1342,1619640900,170235,SF,12세이상관람가,일반영화,"매튜 맥커너히,앤 해서웨이,마이클 케인",169,2014,6396528,7.9,0,0,13474490,157,1143,0,B,9.280903328,2524
63,최강전사 미니특공대 : 새로운 악당의 습격,이영준,에이원엔터테인먼트,D,20150205,winter,한국,318,1163431200,154342,애니메이션,전체관람가,일반영화,"엄상현,전태열,신용우",60,2015,0,0,1,0,211248,5,13,0,C,7.558252427,206
64,아메리칸 셰프,존 파브로,(주)영화사 진진,D,20150107,winter,미국,111,1240660929,151833,코미디,15세이상관람가,독립/예술영화,"존 파브로,엠제이 안소니,소피아 베르가라",114,2015,0,6.25,1,0,9001144,15,21,0,C,8.85106383,94
65,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,타카하시 와타루,(주)이수C&E,B,20150423,spring,일본,372,1085388600,150226,애니메이션,전체관람가,일반영화,"야지마 아키코,나라하시 미키,후지와라 케이지",97,2015,0,7,1,1,820828,10,51,0,B,8.573333333,75
66,워킹걸,정범식,메가박스중앙(주)플러스엠,A,20150107,winter,한국,308,1183887479,149181,코미디,청소년관람불가,일반영화,"조여정,클라라,김태우",112,2015,824183,3.75,1,0,24500777,177,574,0,A,7.203703704,108
67,은밀한 유혹,윤재구,씨제이이앤엠(주),A,20150604,summer,한국,394,1112273247,142375,멜로/로맨스,15세이상관람가,일반영화,"임수정,유연석",110,2015,0,3.71,1,0,16859755,1878,320,0,A,7.275,80
68,화장,임권택,(주)리틀빅픽쳐스,D,20150409,spring,한국,327,1059405100,140616,드라마,청소년관람불가,독립/예술영화,"안성기,김규리,김호정",94,2015,0,6.78,1,0,9597061,1643,477,0,C,7.636363636,44
69,워터 디바이너,러셀 크로우,롯데쇼핑㈜롯데엔터테인먼트,A,20150128,winter,미국,326,1008818235,136134,드라마,15세이상관람가,일반영화,"러셀 크로우,올가 쿠릴렌코,제이 코트니",111,2015,0,5.9,1,0,10886022,59,80,0,A,8.166666667,42
70,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,씨네그루(주)다우기술,B,20141224,winter,기타,479,859030900,120278,애니메이션,전체관람가,독립/예술영화,"벨라 손,샬토 코플리",78,2014,0,0,1,1,1207732,28,60,0,B,7.260797342,602
71,19곰 테드 2,세스 맥팔레인,유니버설픽쳐스인터내셔널 코리아(유),B,20150625,summer,미국,297,961888700,119518,코미디,청소년관람불가,일반영화,"마크 월버그,아만다 사이프리드,세스 맥팔레인",115,2015,283947,5,0,1,7802884,19,106,0,B,8.293233083,133
72,나의 절친 악당들,임상수,이십세기폭스코리아(주),B,20150625,summer,한국,384,921337864,116444,범죄,청소년관람불가,일반영화,"류승범,고준희,류현경",110,2015,1165481,5.5,0,0,14161423,607,310,0,B,5.9,80
73,존 윅,"데이빗 레이치,채드 스타헬스키","(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",D,20150121,winter,미국,321,925995637,116119,액션,청소년관람불가,일반영화,"키아누 리브스,미카엘 니크비스트",107,2015,0,6.05,0,0,5663,41,68,0,C,7.644067797,59
74,상의원,이원석,"(주)쇼박스,(주)와우픽쳐스",C,20141224,winter,한국,466,908709400,113526,사극,15세이상관람가,일반영화,"한석규,고수,박신혜",127,2014,507257,5.21,0,0,25177635,455,673,0,A,7.787072243,526
75,스틸 앨리스,"리처드 글랫저,워시 웨스트모어랜드",그린나래미디어(주),D,20150429,spring,미국,109,856716246,111005,드라마,12세이상관람가,독립/예술영화,"줄리안 무어,알렉 볼드윈,크리스틴 스튜어트",101,2015,0,6.57,1,0,10971393,18,71,0,C,8.342105263,76
76,더 건맨,피에르 모렐,롯데쇼핑㈜롯데엔터테인먼트,A,20150416,spring,프랑스,349,833910965,107441,액션,청소년관람불가,일반영화,"숀 펜,하비에르 바르뎀,이드리스 엘바",113,2015,0,4.58,1,0,9164691,23,93,0,A,7.086486486,185
77,빌리와 용감한 녀석들 3,척 파워스,롯데쇼핑㈜롯데엔터테인먼트,A,20150430,spring,미국,343,699788600,98495,애니메이션,전체관람가,독립/예술영화,"엄상현,조현정,숀 애스틴",80,2015,0,5,0,0,1199118,22,64,0,A,7.263157895,114
78,7번째 아들,세르게이 보드로프,유니버설픽쳐스인터내셔널 코리아(유),B,20150211,winter,미국,358,729980451,92598,어드벤처,12세이상관람가,일반영화,"제프 브리지스,벤 반스,줄리안 무어",102,2015,0,5,1,0,3189921,26,85,0,B,6.655172414,29
79,포커스,"글렌 피카라,존 레쿼",워너브러더스 코리아(주),B,20150226,winter,미국,349,702878700,91164,코미디,15세이상관람가,일반영화,"윌 스미스,마고 로비,로드리고 산토로",104,2015,0,0,0,0,3445516,64,163,0,B,7.605263158,38
80,심야식당,마츠오카 조지,(주)영화사 진진,D,20150618,summer,일본,180,711908074,90416,드라마,12세이상관람가,독립/예술영화,"코바야시 카오루,오다기리 죠",120,2015,0,6.03,1,0,0,54,108,0,C,8.550724638,138
81,빅 아이즈,팀 버튼,판씨네마(주),D,20150128,winter,미국,290,651316335,85200,드라마,12세이상관람가,독립/예술영화,"에이미 아담스,크리스토프 왈츠",105,2015,626104,7.09,1,0,3570551,29,83,0,C,8.131578947,76
82,와일드,장 마크 발레,이십세기폭스코리아(주),B,20150122,winter,미국,58,665271800,83334,드라마,청소년관람불가,독립/예술영화,"리즈 위더스푼,로라 던,토머스 새도스키",119,2015,73663,7.25,1,0,873397,21,19,0,B,8.906976744,43
83,더 이퀄라이저,안톤 후쿠아,유니버설픽쳐스인터내셔널 코리아(유),B,20150128,winter,미국,255,639464500,82779,액션,청소년관람불가,일반영화,"덴젤 워싱턴,콜로이 모레츠,마튼 초카스",131,2015,178073,6.25,1,0,20491,23,40,0,B,8.136363636,22
84,세인트 빈센트,데오도르 멜피,(주)영화사 빅,D,20150305,spring,미국,308,604885528,78336,코미디,12세이상관람가,독립/예술영화,"빌 머레이,나오미 왓츠,멜리사 맥카시",102,2015,0,6.19,0,0,234947,18,62,0,C,8.275862069,29
85,모데카이,데이빗 코엡,(주)나이너스엔터테인먼트,D,20150218,winter,미국,290,624513020,78070,액션,15세이상관람가,일반영화,"조니 뎁,기네스 팰트로,이완 맥그리거",106,2015,0,4.65,1,0,3091729,66,41,1,C,8.22556391,133
86,엑스 마키나,알렉스 가랜드,유니버설픽쳐스인터내셔널 코리아(유),B,20150121,winter,미국,207,629716963,78049,SF,청소년관람불가,일반영화,"도널 글리슨,알리시아 비칸데르,오스카 아이삭",108,2015,0,7.05,0,0,3019273,22,37,0,B,7.290322581,124
87,타임 패러독스,"마이클 스피어리그,피터 스피어이그",(유)조이앤시네마,D,20150107,winter,기타,232,602296908,76803,SF,15세이상관람가,독립/예술영화,"에단 호크,노아 테일러,사라 스누크",97,2015,0,6,1,0,244819,16,37,0,C,7.672131148,61
88,피치 퍼펙트: 언프리티 걸즈,엘리자베스 뱅크스,유니버설픽쳐스인터내셔널 코리아(유),B,20150528,spring,미국,297,591516497,75598,코미디,15세이상관람가,일반영화,"안나 켄드릭,헤일리 스테인펠드,레벨 윌슨",114,2015,0,5.75,0,0,4152677,26,44,0,B,8.37704918,61
89,위자,스틸즈 화이트,유니버설픽쳐스인터내셔널 코리아(유),B,20150416,spring,미국,337,570154035,73549,미스터리,15세이상관람가,일반영화,"올리비아 쿡,다렌 카가소프,아나 코토",89,2015,0,2,1,0,9736,25,52,0,B,6.859375,64
90,기생수 파트2,야마자키 타카시,판씨네마(주),D,20150507,spring,일본,260,502071959,62071,SF,청소년관람불가,일반영화,"소메타니 쇼타,아베 사다오,후카츠 에리",118,2015,0,7.17,1,1,8741,10,31,0,C,7.8,55
91,위아영,노아 바움백,"(주)브리즈픽처스,(주)영화사오원",D,20150514,spring,미국,235,492955360,61664,코미디,15세이상관람가,독립/예술영화,"벤 스틸러,나오미 왓츠,아만다 사이프리드",97,2015,71506,6.86,0,0,5868092,33,82,0,C,7.875,48
92,드래곤 블레이드,이인항,롯데쇼핑㈜롯데엔터테인먼트,A,20150312,spring,기타,264,427722800,56547,액션,15세이상관람가,독립/예술영화,"성룡,존 쿠삭,애드리언 브로디",133,2015,103284,4.33,1,0,1385329,46,45,0,A,8.896551724,29
93,나이트 크롤러,댄 길로이,(주)스톰픽쳐스코리아,D,20150226,winter,미국,233,451041300,55892,범죄,청소년관람불가,독립/예술영화,제이크 질렌할,117,2015,0,7.31,0,0,7874,37,48,0,C,7.965517241,29
94,더 라스트: 나루토 더 무비,코바야시 츠네오,와이드 릴리즈(주),D,20150226,winter,일본,158,391905272,52816,애니메이션,12세이상관람가,독립/예술영화,"타케우치 준코,나카무라 치에,모리쿠보 쇼타로",114,2015,41,0,1,1,60234,3,9,0,C,8.976525822,213
95,바다 탐험대 옥토넛 스페셜,니키 팰런,와이드 릴리즈(주),D,20150205,winter,영국,210,383427600,51884,애니메이션,전체관람가,독립/예술영화,"하성용,정재헌,엄상현",70,2015,0,0,1,1,15365789,2,12,0,C,7.529411765,68
96,엘리노어 릭비: 그 남자 그 여자,네드 벤슨,(주)이수C&E,B,20150409,spring,미국,212,375796900,46589,드라마,15세이상관람가,독립/예술영화,"제임스 맥어보이,제시카 차스테인",122,2015,0,6.45,0,1,4443619,26,42,0,B,7.442307692,52
97,송 원,케이트 베커-플로이랜드,(주)박수엔터테인먼트,D,20150401,spring,미국,365,343444743,46079,드라마,15세이상관람가,독립/예술영화,"앤 해서웨이,자니 플린,메리 스틴버겐",88,2015,0,5.56,0,0,10366311,15,64,0,C,6.148148148,27
98,한 번 더 해피엔딩,마크 로렌스,(주)팝엔터테인먼트,D,20150408,spring,미국,231,348096551,45166,멜로/로맨스,15세이상관람가,독립/예술영화,"휴 그랜트,마리사 토메이,앨리슨 제니",106,2015,0,4.94,0,0,522732,18,52,0,C,8.047619048,21
99,약장수,조치언,"(주)대명문화공장,(주)나이너스엔터테인먼트",D,20150423,spring,한국,282,313238400,43562,드라마,15세이상관람가,일반영화,"김인권,박철민,이주실",104,2015,0,5.38,0,0,58264391,66,184,0,C,8.734693878,49
100,베테랑,류승완,씨제이이앤엠(주),A,20150805,summer,한국,1064,1.05E+11,13395400,액션,15세이상관람가,일반영화,"황정민,유아인,유해진",123,2015,7171386,7.5,0,0,52281121,1252,531,0,A,9.259043174,3428
101,암살,최동훈,(주)쇼박스,C,20150722,summer,한국,1519,98463132781,12705700,액션,15세이상관람가,일반영화,"전지현,이정재,하정우",139,2015,12983178,6.57,0,0,72184496,1803,1635,0,A,9.101088202,3492
102,내부자들,우민호,(주)쇼박스,C,20151119,autumn,한국,1075,56464117657,7055074,범죄,청소년관람불가,일반영화,"이병헌,조승우,백윤식",130,2015,1310895,6.63,1,0,28282876,1498,811,0,A,9.0949064,2297
103,사도,이준익,(주)쇼박스,C,20150916,autumn,한국,1210,48842902501,6246849,사극,12세이상관람가,일반영화,"송강호,유아인,문근영",125,2015,0,7.54,1,0,28208504,631,1340,0,A,8.38952164,1756
104,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데쇼핑㈜롯데엔터테인먼트,A,20150730,summer,미국,1202,48547353607,6126488,액션,15세이상관람가,일반영화,"톰 크루즈,제레미 레너,사이먼 페그",131,2015,784031,7.54,0,1,15514690,261,2873,0,A,8.90956457,2687
