,title,director,distributor,distributor_group,release_date,release_season,nation,screen,rev_nationwide,aud_nationwide,genre,rate,type,starring_actors,running_times,release_year,director_power,expert_rating,sequel,original,actor_power,before_news,after_news,holiday,dist_cat,audience_rating,rating_audiences
863,신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,씨제이이앤엠(주),A,20191219,winter,한국,841,5300006440,672130,애니메이션,전체관람가,일반영화,"조현정,양정화,김영은",97,2019,0,6,1,1,3744251,20,169,0,A,8.762626263,198
864,나이브스 아웃,라이언 존슨,(주)올스타엔터테인먼트,D,20191204,winter,미국,686,5608637210,662874,미스터리,12세이상관람가,일반영화,"다니엘 크레이그,크리스 에반스,아나 디 아르마스",130,2019,946547,7,0,0,20259522,47,330,0,C,8.893333333,75
865,날씨의 아이,신카이 마코토,"(주)미디어캐슬,워터홀컴퍼니(주)",D,20191030,autumn,일본,716,5413288410,655876,애니메이션,15세이상관람가,일반영화,"다이고 코타로,모리 나나,오구리 슌",112,2019,3620355,6.57,0,0,21870,90,495,0,C,8.290909091,275
866,나를 찾아줘,김승우,워너브러더스 코리아(주),B,20191127,autumn,한국,875,5117014620,645082,스릴러,15세이상관람가,일반영화,"벤 애플렉,로자먼드 파이크",149,2019,0,8,0,0,6062993,551,820,0,B,8.244736842,380
867,광대들: 풍문조작단,김주호,워너브러더스 코리아(주),B,20190821,summer,한국,806,5226776088,637021,사극,12세이상관람가,일반영화,"조진웅,손현주,박희순",108,2019,0,4.57,0,0,26258087,319,570,0,B,8.127272727,165
868,그것: 두 번째 이야기,안드레스 무시에티,워너브러더스 코리아(주),B,20190904,autumn,미국,999,5107465367,591043,스릴러,15세이상관람가,일반영화,"빌 스카스가드,제임스 맥어보이,제시카 차스테인",169,2019,888386,6.75,1,1,5397950,38,152,0,B,8.112612613,222
869,극장판 헬로카봇 : 달나라를 구해줘!,"최신규,김진철",롯데컬처웍스(주)롯데엔터테인먼트,A,20190904,autumn,한국,889,4553434150,587818,애니메이션,전체관람가,일반영화,"이지현,김용준,양정화",76,2019,1749934,5,1,1,4109982,10,264,0,A,7.5,146
870,양자물리학,이성태,(주)메리크리스마스,D,20190925,autumn,한국,799,4526478380,553879,범죄,15세이상관람가,일반영화,"박해수,서예지,김상호",119,2019,60365,4.8,0,0,7165407,161,671,0,C,8.615384615,221
871,애드 아스트라,제임스 그레이,이십세기폭스코리아(주),B,20190919,autumn,미국,853,4518393460,513375,SF,12세이상관람가,일반영화,브래드 피트,123,2019,47088,7.38,0,0,965550,62,461,0,B,8.464052288,306
872,47미터 2,요하네스 로버츠,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",D,20190828,summer,미국,649,3846315153,501934,공포,15세이상관람가,일반영화,"소피 넬리스,시스틴 로즈 스탤론,브리안느 쥬",90,2019,590036,4,1,0,2146,29,235,0,C,8.397321429,224
873,감쪽같은 그녀,허인무,메가박스중앙(주)플러스엠,A,20191204,winter,한국,761,3377533790,436207,드라마,전체관람가,일반영화,"나문희,김수안",104,2019,0,5,0,0,33279150,106,393,0,A,9.047619048,126
874,제미니 맨,이안,롯데컬처웍스(주)롯데엔터테인먼트,A,20191009,autumn,미국,845,3295969230,387342,액션,12세이상관람가,일반영화,윌 스미스,117,2019,0,5,0,0,1898197,107,308,1,A,8.935483871,186
875,브링 더 소울 : 더 무비,박준수,월트디즈니컴퍼니코리아 유한책임회사,B,20190807,summer,한국,569,2902500310,336074,다큐멘터리,전체관람가,일반영화,"RM,진,슈가",103,2019,315010,0,0,1,0,125,518,0,B,9.737113402,194
876,아담스 패밀리,"그렉 티어넌,콘래드 베논",유니버설픽쳐스인터내셔널 코리아(유),B,20191107,autumn,미국,802,2565386140,321726,애니메이션,전체관람가,일반영화,"샤를리즈 테론,클로이 모레츠,오스카 아이삭",87,2019,0,6.33,0,1,8355885,27,202,0,B,8.526315789,57
877,예스터데이,대니 보일,유니버설픽쳐스인터내셔널 코리아(유),B,20190918,autumn,미국,816,2572745100,305504,드라마,12세이상관람가,일반영화,"히메쉬 파텔,릴리 제임스",116,2019,68815,5.86,0,0,3153579,43,341,0,B,8.60625,160
